Client,Library,Old Version,New Version,Error Type,MaRCo evaluation
memcached-session-manager,com.esotericsoftware:kryo,4.0.0,5.0.0-RC4,Fail Only,statically_incompatible
memcached-session-manager,org.codehaus.jettison:jettison,1.3.7,1.4.0,Fail Only,no_github_link
memcached-session-manager,com.sun.faces:jsf-impl,2.2.12,2.3.9.SP05,Fail Only,no_jar
memcached-session-manager,org.apache.tomcat:coyote,6.0.45,6.0.53,Fail Only,statically_incompatible
httpcomponents-client,commons-codec:commons-codec,1.12,1.13,Error Only,no_github_link
httpcomponents-client,org.apache.logging.log4j:log4j-core,2.9.1,2.13.0,Error Only,statically_incompatible
ExcelUtil,org.apache.poi:poi,3.17,4.1.1,Error Only,statically_incompatible
spring-cloud-function,org.apache.maven:maven-embedder,3.3.9,3.6.3,Fail Only,statically_incompatible
doctorkafka,org.apache.logging.log4j:log4j-core,2.11.1,2.13.0,Error Only,statically_incompatible
jacoco,org.jacoco:jacoco-maven-plugin,0.8.4,0.8.5,Fail + Error,no_github_link
ff4j,org.glassfish.jersey.core:jersey-client,2.22.1,2.29.1,Error Only,statically_incompatible
ff4j,org.glassfish.jersey.core:jersey-server,2.22.1,2.29.1,Error Only,statically_incompatible
ff4j,io.swagger:swagger-annotations,1.5.4,2.0.0-rc2,Error Only,statically_incompatible
ff4j,org.mongodb:mongo-java-driver,2.13.3,3.12.0,Error Only,statically_incompatible
ff4j,org.springframework:spring-test,4.3.17.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
ff4j,org.springframework:spring-jdbc,4.3.17.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
ff4j,org.springframework:spring-context,4.3.17.RELEASE,5.2.2.RELEASE,Fail + Error,statically_incompatible
ff4j,org.springframework:spring-core,4.3.17.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
ff4j,com.fasterxml.jackson.core:jackson-databind,2.9.9,2.10.1,Error Only,statically_incompatible
ff4j,com.github.fakemongo:fongo,1.6.8,2.2.0-RC2,Error Only,statically_incompatible
minimal-json,com.fasterxml.jackson.core:jackson-databind,2.5.0,2.10.1,Error Only,statically_incompatible
tabula-java,org.apache.pdfbox:pdfbox,2.0.9,2.0.18,Fail Only,statically_incompatible
extentreports-java,org.jsoup:jsoup,1.9.2,1.12.1,Fail Only,statically_incompatible
CorfuDB,io.netty:netty-all,4.1.10.Final,5.0.0.Alpha2,Error Only,statically_incompatible
languagetool,tech.units:indriya,1.2,2.0.1,Error Only,statically_incompatible
languagetool,ua.net.nlp:morfologik-ukrainian-lt,4.6.2,4.7.5,Fail Only,no_maven
languagetool,org.languagetool:language-fr,4.6,4.7,Error Only,statically_incompatible
languagetool,org.languagetool:language-gl,4.6,4.7,Error Only,statically_incompatible
languagetool,org.languagetool:language-es,4.6,4.7,Fail + Error,statically_incompatible
languagetool,org.languagetool:language-uk,4.6,4.7,Error Only,statically_incompatible
languagetool,org.languagetool:language-ca,4.6,4.7,Error Only,statically_incompatible
languagetool,org.languagetool:language-pt,4.6,4.7,Error Only,statically_incompatible
languagetool,org.languagetool:language-all,4.6,4.7,Error Only,no_github_link
languagetool,org.languagetool:languagetool-core,4.6,4.7,Error Only,statically_incompatible
languagetool,org.languagetool:language-en,4.6,4.7,Error Only,statically_incompatible
languagetool,org.languagetool:language-de,4.6,4.7,Error Only,statically_incompatible
languagetool,org.languagetool:language-pl,4.6,4.7,Error Only,statically_incompatible
languagetool,org.languagetool:language-nl,4.6,4.7,Error Only,statically_incompatible
languagetool,org.apache.derby:derby,10.10.1.1,10.15.1.3,Error Only,statically_incompatible
languagetool,org.apache.lucene:lucene-backward-codecs,5.5.4,8.3.1,Error Only,statically_incompatible
griffin,org.eclipse.persistence:org.eclipse.persistence.jpa,2.6.0,2.7.5,Error Only,statically_incompatible
griffin,org.apache.hadoop:hadoop-client,2.7.1,3.2.1,Error Only,no_github_link
datumbox-framework,com.datumbox:libsvm,3.22,3.23,Error Only,no_github_tag
hugegraph,com.baidu.hugegraph:hugegraph-common,1.6.0,1.6.16,Error Only,statically_incompatible
jolokia,org.apache.httpcomponents:httpclient-osgi,4.5.3,4.5.10,Fail Only,no_github_link
jolokia,org.jmockit:jmockit,1.8,1.49,Fail Only,statically_incompatible
jolokia,com.github.tomakehurst:wiremock,1.58,2.25.1,Fail Only,statically_incompatible
sofa-bolt,org.apache.logging.log4j:log4j-slf4j-impl,2.3,2.12.1,Error Only,no_github_link
sofa-bolt,org.apache.logging.log4j:log4j-api,2.3,2.12.1,Error Only,statically_incompatible
webporter,us.codecraft:webmagic-core,0.6.1,0.7.3,Fail Only,statically_incompatible
feast,io.jaegertracing:jaeger-client,0.31.0,1.1.0,Error Only,no_maven
feast,org.apache.kafka:kafka-clients,2.3.0,2.4.0,Error Only,statically_incompatible
sofa-boot,org.jmockit:jmockit,1.4,1.48,Error Only,no_jar
glowroot,com.google.guava:guava,20.0,28.2-jre,Fail Only,statically_incompatible
abixen-platform,org.apache.logging.log4j:log4j-slf4j-impl,2.0.1,2.13.0,Error Only,statically_incompatible
owlapi,org.eclipse.rdf4j:rdf4j-rio-rdfxml,2.3.2,3.1.0-M1,Error Only,statically_incompatible
owlapi,org.eclipse.rdf4j:rdf4j-rio-nquads,2.3.2,3.1.0-M1,Error Only,no_github_link
owlapi,org.eclipse.rdf4j:rdf4j-rio-trix,2.3.2,3.1.0-M1,Error Only,no_github_link
owlapi,org.eclipse.rdf4j:rdf4j-rio-jsonld,2.3.2,3.1.0-M1,Error Only,no_github_link
owlapi,org.eclipse.rdf4j:rdf4j-model,2.3.2,3.1.0-M1,Error Only,statically_incompatible
owlapi,org.eclipse.rdf4j:rdf4j-rio-rdfjson,2.3.2,3.1.0-M1,Error Only,statically_incompatible
owlapi,org.eclipse.rdf4j:rdf4j-rio-ntriples,2.3.2,3.1.0-M1,Error Only,statically_incompatible
excel-streaming-reader,org.apache.poi:poi-ooxml,4.0.0,4.1.1,Error Only,statically_incompatible
excel-streaming-reader,xml-apis:xml-apis,1.4.01,2.0.2,Error Only,no_jar
takes,org.slf4j:slf4j-simple,1.8.0-alpha2,2.0.0-alpha1,Error Only,statically_incompatible
sonar-java,org.slf4j:slf4j-api,1.6.2,2.0.0-alpha1,Fail + Error,statically_incompatible
sonar-java,org.jacoco:org.jacoco.core,0.8.3,0.8.5,Error Only,statically_incompatible
sonar-java,org.assertj:assertj-core,3.6.1,3.14.0,Error Only,statically_incompatible
BroadleafCommerce,org.springframework:spring-webmvc,4.3.18.RELEASE,5.2.2.RELEASE,Fail + Error,statically_incompatible
BroadleafCommerce,org.springframework:spring-web,4.3.18.RELEASE,5.2.2.RELEASE,Fail Only,statically_incompatible
BroadleafCommerce,org.springframework:spring-test,4.3.18.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
BroadleafCommerce,org.springframework:spring-jms,4.3.18.RELEASE,5.2.2.RELEASE,Fail + Error,statically_incompatible
BroadleafCommerce,org.springframework:spring-beans,4.3.18.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
BroadleafCommerce,org.springframework:spring-orm,4.3.18.RELEASE,5.2.2.RELEASE,Fail + Error,statically_incompatible
BroadleafCommerce,org.springframework:spring-context,4.3.18.RELEASE,5.2.2.RELEASE,Fail + Error,statically_incompatible
BroadleafCommerce,org.springframework:spring-core,4.3.18.RELEASE,5.2.2.RELEASE,Fail Only,statically_incompatible
BroadleafCommerce,org.hibernate:hibernate-core,4.1.11.Final,6.0.0.Alpha3,Fail Only,statically_incompatible
BroadleafCommerce,org.hibernate:hibernate-validator,5.4.1.Final,6.1.0.Final,Fail + Error,statically_incompatible
BroadleafCommerce,org.hibernate:hibernate-entitymanager,4.1.11.Final,6.0.0.Alpha3,Fail Only,statically_incompatible
BroadleafCommerce,org.hibernate:hibernate-envers,4.1.11.Final,6.0.0.Alpha3,Fail + Error,statically_incompatible
BroadleafCommerce,org.hibernate:hibernate-ehcache,4.1.11.Final,6.0.0.Alpha3,Fail + Error,statically_incompatible
BroadleafCommerce,org.apache.httpcomponents:httpclient,4.5.6,4.5.10,Fail Only,no_github_link
BroadleafCommerce,org.easymock:easymock,2.5.1,4.1,Error Only,statically_incompatible
jjwt,org.easymock:easymock,3.6,4.1,Error Only,statically_incompatible
maven-plugins,org.apache.maven:maven-plugin-api,3.1.0,3.6.3,Error Only,no_github_link
maven-plugins,org.apache.maven:maven-core,3.1.0,3.6.3,Error Only,statically_incompatible
swagger-maven-plugin,net.javacrumbs.json-unit:json-unit,1.17.0,2.11.1,Fail Only,statically_incompatible
swagger-maven-plugin,org.testng:testng,6.8.8,7.1.0,Fail Only,statically_incompatible
swagger-maven-plugin,org.apache.maven:maven-core,2.0.9,3.6.3,Fail Only,statically_incompatible
swagger-maven-plugin,org.apache.maven:maven-artifact,2.2.1,3.6.3,Fail Only,statically_incompatible
swagger-maven-plugin,com.github.jknack:handlebars,1.3.2,4.1.2,Fail Only,statically_incompatible
sofa-tracer,com.alibaba:dubbo,2.6.2,2.6.7,Error Only,statically_incompatible
sofa-tracer,ch.qos.logback:logback-classic,1.1.11,1.3.0-alpha5,Error Only,statically_incompatible
sofa-tracer,org.apache.logging.log4j:log4j-core,2.3,2.13.0,Error Only,statically_incompatible
sofa-tracer,com.squareup.okhttp3:okhttp,3.12.1,4.3.0,Error Only,statically_incompatible
FluentLenium,org.seleniumhq.selenium:selenium-support,3.141.59,4.0.0-alpha-3,Fail + Error,statically_incompatible
FluentLenium,org.seleniumhq.selenium:selenium-api,3.141.59,4.0.0-alpha-3,Error Only,statically_incompatible
BitHub,io.dropwizard:dropwizard-core,0.7.0,2.0.0,Error Only,statically_incompatible
BitHub,io.dropwizard:dropwizard-servlets,0.7.0,2.0.0,Error Only,statically_incompatible
BitHub,io.dropwizard:dropwizard-client,0.7.0,2.0.0,Error Only,statically_incompatible
BitHub,com.sun.jersey:jersey-json,1.18.1,1.19.4,Error Only,no_github_link
allure1,com.google.inject:guice,4.0,4.2.2,Error Only,statically_incompatible
xmemcached,org.easymock:easymockclassextension,2.4,3.2,Error Only,statically_incompatible
xmemcached,org.easymock:easymock,2.4,4.1,Error Only,statically_incompatible
fluent-validator,org.springframework:spring-test,4.1.7.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
fluent-validator,org.hibernate:hibernate-validator,5.2.1.Final,6.1.0.Final,Error Only,statically_incompatible
nacos-spring-project,org.springframework:spring-test,3.2.18.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
nacos-spring-project,org.springframework:spring-core,3.2.18.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
vertx-web,io.swagger.parser.v3:swagger-parser-v3,2.0.14,2.0.17,Fail + Error,statically_incompatible
vertx-web,org.mvel:mvel2,2.3.1.Final,2.4.5.Final,Fail Only,statically_incompatible
vertx-web,io.vertx:vertx-web-client,3.8.4,4.0.0-milestone4,Fail + Error,statically_incompatible
vertx-web,io.vertx:vertx-web-api-contract,3.8.4,4.0.0-milestone4,Fail Only,statically_incompatible
vertx-web,io.vertx:vertx-web,3.8.4,4.0.0-milestone4,Error Only,statically_incompatible
rocketmq-spring,org.apache.rocketmq:rocketmq-client,4.5.1,4.6.0,Error Only,statically_incompatible
rocketmq-spring,org.springframework:spring-context,5.1.0.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
paoding-rose,org.springframework:spring-jdbc,3.2.4.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
webmagic,org.jsoup:jsoup,1.8.3,1.12.1,Error Only,statically_incompatible
webmagic,net.sourceforge.htmlcleaner:htmlcleaner,2.5,2.23,Fail Only,statically_incompatible
webmagic,com.jayway.jsonpath:json-path,0.8.1,2.4.0,Error Only,statically_incompatible
webmagic,us.codecraft:webmagic-core,0.7.2,0.7.3,Error Only,statically_incompatible
webmagic,com.github.dreamhead:moco-core,0.11.0,1.0.0,Error Only,statically_incompatible
Jupiter,org.ow2.asm:asm,6.0,7.2,Error Only,statically_incompatible
uReplicator,org.restlet.jse:org.restlet.ext.jetty,2.2.1,3.0-M1,Fail Only,no_jar
uReplicator,org.restlet.jse:org.restlet,2.2.1,3.0-M1,Fail Only,no_jar
uReplicator,com.yammer.metrics:metrics-core,2.2.0,3.0.0-BETA1,Fail Only,statically_incompatible
uReplicator,com.alibaba:fastjson,1.1.41,1.2.62,Fail Only,statically_incompatible
uReplicator,org.apache.helix:helix-core,0.6.8,0.9.1,Fail Only,statically_incompatible
uReplicator,org.apache.kafka:kafka-clients,0.10.2.1,2.4.0,Fail Only,statically_incompatible
sentry-java,org.apache.logging.log4j:log4j-core,2.8.2,2.13.0,Error Only,statically_incompatible
sentry-java,ch.qos.logback:logback-core,1.2.1,1.3.0-alpha5,Error Only,statically_incompatible
sentry-java,org.apache.logging.log4j:log4j-api,2.8.2,2.13.0,Error Only,statically_incompatible
obd-java-api,org.easymock:easymock,3.3,4.1,Fail Only,statically_incompatible
sonar-objective-c,org.codehaus.sonar:sonar-testing-harness,3.3,5.1,Error Only,statically_incompatible
servicecomb-java-chassis,com.netflix.spectator:spectator-reg-servo,0.83.0,0.99.2,Fail Only,no_maven
servicecomb-java-chassis,io.netty:netty-transport,4.1.28.Final,5.0.0.Alpha2,Error Only,statically_incompatible
servicecomb-java-chassis,io.netty:netty-resolver,4.1.28.Final,5.0.0.Alpha2,Error Only,statically_incompatible
servicecomb-java-chassis,io.netty:netty-handler,4.1.28.Final,5.0.0.Alpha2,Fail + Error,statically_incompatible
servicecomb-java-chassis,io.netty:netty-common,4.1.28.Final,5.0.0.Alpha2,Fail + Error,statically_incompatible
servicecomb-java-chassis,io.netty:netty-codec-http,4.1.28.Final,5.0.0.Alpha2,Fail + Error,statically_incompatible
servicecomb-java-chassis,io.netty:netty-buffer,4.1.28.Final,5.0.0.Alpha2,Fail + Error,statically_incompatible
servicecomb-java-chassis,org.apache.servicecomb:swagger-generator-springmvc,1.2.1,1.3.0,Error Only,no_github_link
servicecomb-java-chassis,org.apache.servicecomb:swagger-generator-core,1.2.1,1.3.0,Error Only,statically_incompatible
servicecomb-java-chassis,org.jmockit:jmockit,1.3,1.48,Error Only,no_jar
servicecomb-java-chassis,org.springframework:spring-web,4.3.20.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
servicecomb-java-chassis,org.springframework:spring-context,4.3.20.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
servicecomb-java-chassis,io.vertx:vertx-core,3.6.3,4.0.0-milestone4,Error Only,statically_incompatible
servicecomb-java-chassis,io.vertx:vertx-web,3.6.3,4.0.0-milestone4,Error Only,statically_incompatible
servicecomb-java-chassis,io.protostuff:protostuff-runtime,1.5.9,1.6.2,Error Only,statically_incompatible
servicecomb-java-chassis,io.protostuff:protostuff-core,1.5.9,1.6.2,Error Only,statically_incompatible
servicecomb-java-chassis,com.netflix.ribbon:ribbon-loadbalancer,2.2.5,2.7.17,Error Only,statically_incompatible
servicecomb-java-chassis,com.netflix.ribbon:ribbon,2.2.5,2.7.17,Error Only,no_maven
servicecomb-java-chassis,io.swagger:swagger-core,1.5.22,2.0.0-rc2,Fail + Error,statically_incompatible
servicecomb-java-chassis,org.slf4j:slf4j-log4j12,1.7.26,2.0.0-alpha1,Fail + Error,statically_incompatible
servicecomb-java-chassis,com.netflix.archaius:archaius-core,0.7.3,2.0.0-rc.7,Error Only,statically_incompatible
servicecomb-java-chassis,javax.ws.rs:javax.ws.rs-api,2.0.1,2.1.1,Error Only,statically_incompatible
spring-websocket-portfolio,org.springframework:spring-webmvc,5.1.5.RELEASE,5.2.2.RELEASE,Fail Only,statically_incompatible
spring-websocket-portfolio,org.springframework:spring-test,5.1.5.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
heritrix3,commons-codec:commons-codec,1.6,20041127.09,Error Only,no_jar
heritrix3,com.sleepycat:je,4.1.6,18.3.12,Error Only,no_jar
heritrix3,org.apache.httpcomponents:httpclient,4.3.6,4.5.10,Fail + Error,statically_incompatible
heritrix3,org.apache.httpcomponents:httpmime,4.3.6,4.5.10,Error Only,no_github_link
heritrix3,org.mortbay.jetty:jetty-util,6.1.26,7.0.0.pre5,Fail Only,statically_incompatible
heritrix3,org.springframework:spring-beans,3.0.5.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
heritrix3,org.springframework:spring-core,3.0.5.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
jafka,com.fasterxml.jackson.core:jackson-databind,2.9.6,2.10.1,Error Only,statically_incompatible
nanohttpd,org.apache.httpcomponents:httpclient,4.2.5,4.5.10,Fail Only,statically_incompatible
nanohttpd,org.apache.httpcomponents:httpmime,4.2.5,4.5.10,Error Only,no_github_link
pippo,org.jboss.weld.se:weld-se,2.3.1.Final,3.0.0.Alpha1,Error Only,statically_incompatible
pippo,ro.pippo:pippo-undertow,1.11.0,1.12.0,Error Only,no_github_link
pippo,org.infinispan:infinispan-core,8.2.2.Final,10.1.0.Final,Error Only,statically_incompatible
mybatis-3,org.apache.derby:derby,10.14.2.0,10.15.1.3,Fail + Error,statically_incompatible
guice,cglib:cglib,3.2.8,3.3.0,Fail + Error,no_github_link
jersey,org.eclipse.jetty:jetty-util,9.4.3.v20170317,10.0.0-alpha0,Fail + Error,statically_incompatible
jersey,org.eclipse.jetty:jetty-server,9.4.3.v20170317,10.0.0-alpha0,Fail + Error,statically_incompatible
jersey,org.osgi:org.osgi.core,4.2.0,6.0.0,Fail Only,statically_incompatible
jersey,org.glassfish.grizzly:grizzly-http-client,1.13,1.16,Error Only,no_compile
jersey,org.glassfish.grizzly:grizzly-http-server,2.4.0,2.4.4,Error Only,no_github_link
jersey,org.glassfish.grizzly:grizzly-http-servlet,2.4.0,2.4.4,Fail + Error,no_github_link
jersey,javax.servlet:javax.servlet-api,3.0.1,4.0.1,Error Only,statically_incompatible
jersey,javax.servlet:servlet-api,2.4,3.0-alpha-1,Fail Only,statically_incompatible
jersey,org.glassfish.jersey.inject:jersey-hk2,2.26,2.29.1,Error Only,no_github_link
jersey,org.glassfish.jersey.core:jersey-client,2.26,2.29.1,Fail + Error,statically_incompatible
jersey,org.glassfish.jersey.core:jersey-common,2.26,2.29.1,Error Only,statically_incompatible
jersey,org.glassfish.jersey.media:jersey-media-jaxb,2.26,2.29.1,Fail + Error,no_github_link
jersey,org.glassfish.jersey.core:jersey-server,2.26,2.29.1,Fail + Error,statically_incompatible
jersey,org.jmockit:jmockit,1.18,1.48,Fail + Error,statically_incompatible
jersey,javax.validation:validation-api,1.1.0.Final,2.0.1.Final,Error Only,statically_incompatible
jersey,org.apache.httpcomponents:httpclient,4.5,4.5.10,Fail + Error,no_github_link
jersey,javax.persistence:persistence-api,1.0,1.0.2,Error Only,statically_incompatible
jersey,org.glassfish.hk2:osgi-resource-locator,1.0.1,2.5.0-b42,Error Only,no_github_link
jersey,javax.annotation:javax.annotation-api,1.2,1.3.2,Error Only,no_github_link
jersey,io.netty:netty-all,4.1.5.Final,5.0.0.Alpha2,Fail + Error,statically_incompatible
jersey,javax.ws.rs:javax.ws.rs-api,2.1,2.1.1,Fail Only,no_github_tag
moshi,com.github.tschuchortdev:kotlin-compile-testing,1.2.3,1.2.5,Fail Only,statically_incompatible
rxjava-jdbc,com.h2database:h2,1.4.192,1.4.200,Fail Only,statically_incompatible
Argus,javax.mail:mail,1.4.7,1.5.0-b01,Fail Only,statically_incompatible
Argus,org.apache.httpcomponents:httpcore,4.4.9,4.4.12,Fail + Error,no_github_link
Argus,javax.servlet:javax.servlet-api,4.0.0,4.0.1,Fail Only,no_compile
Argus,org.apache.curator:curator-client,2.10.0,4.2.0,Fail Only,statically_incompatible
Argus,org.apache.hbase:hbase-client,1.4.2,2.2.2,Fail + Error,statically_incompatible
Argus,org.apache.curator:curator-x-discovery,2.10.0,4.2.0,Fail Only,statically_incompatible
Argus,org.apache.derby:derbyclient,10.12.1.1,10.15.1.3,Fail Only,statically_incompatible
Argus,com.google.guava:guava,23.0,28.2-jre,Fail Only,statically_incompatible
Argus,org.apache.zookeeper:zookeeper,3.4.10,3.5.6,Fail + Error,statically_incompatible
Argus,com.googlecode.concurrent-trees:concurrent-trees,2.6.0,2.6.1,Fail Only,no_github_link
Argus,com.yammer.metrics:metrics-core,2.2.0,3.0.0-c0c8be71,Error Only,no_jar
Argus,org.apache.curator:curator-framework,2.11.1,4.2.0,Fail Only,statically_incompatible
Argus,org.apache.httpcomponents:httpclient,4.5.3,4.5.10,Fail + Error,no_github_link
Argus,org.quartz-scheduler:quartz-jobs,2.2.2,2.3.2,Fail + Error,no_github_link
Argus,com.google.inject.extensions:guice-persist,4.0,4.2.2,Fail + Error,no_github_link
Argus,com.salesforce.argus:argus-core,2.19.0,2.22.0,Fail + Error,no_jar
Argus,org.eclipse.persistence:eclipselink,2.6.4,2.7.5,Fail Only,statically_incompatible
Argus,com.google.code.gson:gson,2.5,2.8.6,Fail + Error,statically_incompatible
Argus,net.openhft:zero-allocation-hashing,0.8,0.10.1,Fail + Error,no_compile
Argus,io.jsonwebtoken:jjwt,0.9.0,0.9.1,Fail + Error,no_compile
Argus,com.fasterxml.jackson.core:jackson-annotations,2.9.5,2.10.1,Fail + Error,no_compile
Argus,org.antlr:ST4,4.0.7,4.2,Fail + Error,statically_incompatible
Argus,org.apache.curator:curator-test,2.8.0,4.2.0,Fail + Error,statically_incompatible
Argus,org.hbase:asynchbase,1.8.0,1.8.2,Fail Only,no_maven
Argus,org.elasticsearch.client:rest,5.5.1,6.0.0-alpha2,Fail + Error,no_maven
Argus,org.apache.kafka:kafka_2.10,0.8.2.1,0.10.2.3.0.3.0-6,Error Only,no_jar
Argus,com.101tec:zkclient,0.3,0.11,Fail Only,statically_incompatible
Argus,com.fasterxml.jackson.jaxrs:jackson-jaxrs-base,2.9.5,2.10.2,Fail + Error,statically_incompatible
Argus,com.salesforce.argus:argus,2.19.0,2.22.0,Fail + Error,no_jar
Argus,org.hibernate:hibernate-jpamodelgen,5.0.6.Final,6.0.0.Alpha4,Fail + Error,statically_incompatible
Argus,net.sf.jopt-simple:jopt-simple,3.2,6.0-alpha-3,Fail + Error,statically_incompatible
Argus,com.github.brandtg:stl-java,0.1.1,0.1.2,Fail + Error,no_compile
signpost,oauth.signpost:signpost-core,1.2.1.1,1.2.1.2,Error Only,statically_incompatible
spring-data-neo4j,javax.interceptor:javax.interceptor-api,1.2.1,3.1,Error Only,no_jar
spring-data-neo4j,org.hibernate:hibernate-validator,5.1.2.Final,6.1.0.Final,Error Only,statically_incompatible
cron-utils,org.hibernate:hibernate-validator,5.2.4.Final,6.1.0.Final,Error Only,statically_incompatible
apk-parser,org.bouncycastle:bcpkix-jdk15on,1.58,1.64,Error Only,statically_incompatible
rtree,com.esotericsoftware:kryo,3.0.3,5.0.0-RC4,Error Only,statically_incompatible
artemis-odb,org.ow2.asm:asm-util,5.0.4,7.2,Error Only,statically_incompatible
artemis-odb,org.ow2.asm:asm-tree,5.0.4,7.2,Error Only,statically_incompatible
artemis-odb,org.ow2.asm:asm,5.0.4,7.2,Fail + Error,statically_incompatible
cicada,ch.qos.logback:logback-core,1.1.11,1.3.0-alpha5,Error Only,statically_incompatible
light-4j,com.networknt:balance,1.6.10,2.0.8,Error Only,no_github_link
light-4j,com.networknt:monad-result,1.6.10,2.0.8,Error Only,no_github_link
light-4j,com.networknt:utility,1.6.10,2.0.8,Error Only,no_github_link
light-4j,com.networknt:decryptor,1.6.10,2.0.8,Error Only,no_github_link
light-4j,com.networknt:switcher,1.6.10,2.0.8,Error Only,no_github_link
light-4j,com.networknt:config,1.6.10,2.0.8,Error Only,no_github_link
light-4j,com.networknt:service,1.6.10,2.0.8,Fail + Error,no_github_link
light-4j,com.networknt:status,1.6.10,2.0.8,Error Only,no_github_link
light-4j,com.networknt:registry,1.6.10,2.0.8,Error Only,no_github_link
light-4j,commons-codec:commons-codec,1.11,20041127.09,Fail Only,no_jar
light-4j,com.fasterxml.jackson.core:jackson-databind,2.9.10,2.10.1,Error Only,statically_incompatible
openhtmltopdf,com.openhtmltopdf:openhtmltopdf-core,1.0.0,1.0.1,Fail Only,statically_incompatible
rocker,org.antlr:antlr4-runtime,4.5.3,4.7.2,Fail Only,statically_incompatible
lavagna,org.springframework:spring-test,5.0.7.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
lavagna,org.springframework:spring-jdbc,5.0.7.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
lavagna,org.apache.logging.log4j:log4j-core,2.11.0,2.13.0,Error Only,statically_incompatible
Mybatis-PageHelper,org.mybatis:mybatis,3.4.4,3.5.3,Error Only,statically_incompatible
togglz,org.mongodb:mongo-java-driver,3.4.0,3.12.0,Error Only,statically_incompatible
togglz,org.apache.deltaspike.core:deltaspike-core-api,1.7.2,1.9.2,Error Only,statically_incompatible
togglz,com.github.fakemongo:fongo,2.0.6,2.2.0-RC2,Error Only,statically_incompatible
togglz,com.google.appengine:appengine-api-1.0-sdk,1.9.38,1.9.77,Error Only,statically_incompatible
togglz,com.google.appengine:appengine-api-stubs,1.9.38,1.9.77,Error Only,statically_incompatible
postgresql-embedded,org.springframework:spring-test,4.3.2.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
postgresql-embedded,org.springframework:spring-beans,4.3.2.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
postgresql-embedded,org.springframework:spring-context,4.3.2.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
postgresql-embedded,org.springframework:spring-core,4.3.2.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
phoenix,org.apache.hbase:hbase-protocol,1.4.10,2.2.2,Error Only,statically_incompatible
phoenix,org.apache.hbase:hbase-metrics,1.4.10,2.2.2,Error Only,statically_incompatible
phoenix,org.jruby.joni:joni,2.1.2,2.1.30,Error Only,statically_incompatible
checkstyle,org.jacoco:org.jacoco.agent,0.8.4,0.8.5,Fail + Error,no_github_link
natty,org.mnode.ical4j:ical4j,1.0.2,3.0.11,Error Only,statically_incompatible
psi-probe,org.apache.tomcat:tomcat-coyote,9.0.27,9.0.30,Error Only,statically_incompatible
psi-probe,org.apache.tomcat:tomcat-catalina,9.0.27,9.0.30,Fail Only,statically_incompatible
psi-probe,org.jmockit:jmockit,1.48,1.49,Error Only,statically_incompatible
gravitee-gateway,io.gravitee.plugin:gravitee-plugin-policy,1.8.0,1.11.0,Error Only,statically_incompatible
gravitee-gateway,io.gravitee.gateway:gravitee-gateway-http,1.25.17,1.30.1,Fail Only,no_github_link
gravitee-gateway,io.gravitee.alert:gravitee-alert-api,1.1.0,1.2.1,Error Only,statically_incompatible
gravitee-gateway,io.gravitee.plugin:gravitee-plugin-resource,1.8.0,1.11.0,Error Only,statically_incompatible
gravitee-gateway,io.gravitee.gateway:gravitee-gateway-policy,1.25.17,1.30.1,Error Only,statically_incompatible
gravitee-gateway,io.gravitee.definition:gravitee-definition-model,1.18.1,1.20.0,Error Only,statically_incompatible
gravitee-gateway,io.gravitee.gateway:gravitee-gateway-reactor,1.25.17,1.30.1,Error Only,statically_incompatible
gravitee-gateway,org.springframework:spring-beans,5.1.5.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
gravitee-gateway,org.springframework:spring-context,5.1.5.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
gravitee-gateway,io.vertx:vertx-circuit-breaker,3.7.1,4.0.0-milestone4,Fail Only,statically_incompatible
gravitee-gateway,io.vertx:vertx-web,3.7.1,4.0.0-milestone4,Error Only,statically_incompatible
macrobase,org.apache.logging.log4j:log4j-slf4j-impl,2.10.0,2.13.0,Error Only,statically_incompatible
macrobase,org.apache.spark:spark-sql_2.11,2.2.1,2.4.4,Error Only,statically_incompatible
