repository,number,eligible,ga,v_old,v_new,update_type,statically_compatible,dynamically_compatible,err
britka/playwrightium,26,1,com.fasterxml.jackson.core:jackson-databind,2.16.2,2.17.0,minor,0,,
britka/playwrightium,21,1,com.fasterxml.jackson.core:jackson-databind,2.16.1,2.16.2,patch,1,1,
britka/playwrightium,9,1,com.fasterxml.jackson.core:jackson-databind,2.16.0,2.16.1,patch,1,1,
bytemcnetzwerk/evelon,20,1,com.fasterxml.jackson.core:jackson-databind,2.15.2,2.15.3,patch,1,1,
java-operator-sdk/jenvtest,143,1,com.fasterxml.jackson.core:jackson-databind,2.14.2,2.16.0,minor,0,,
awslabs/eventbridge-kafka-connector,265,1,com.fasterxml.jackson:jackson-bom,2.16.2,2.17.0,minor,0,,NO_JAR
awslabs/eventbridge-kafka-connector,260,1,com.fasterxml.jackson:jackson-bom,2.16.1,2.16.2,patch,0,,NO_JAR
awslabs/eventbridge-kafka-connector,193,1,com.fasterxml.jackson:jackson-bom,2.16.0,2.16.1,patch,0,,NO_JAR
awslabs/eventbridge-kafka-connector,170,1,com.fasterxml.jackson:jackson-bom,2.15.3,2.16.0,minor,0,,NO_JAR
awslabs/eventbridge-kafka-connector,151,1,com.fasterxml.jackson:jackson-bom,2.15.2,2.15.3,patch,0,,NO_JAR
awslabs/eventbridge-kafka-connector,295,1,com.fasterxml.jackson:jackson-bom,2.17.0,2.17.1,patch,0,,no_jar
alibaba/fastjson2,2324,1,com.fasterxml.jackson:jackson-bom,2.16.2,2.17.0,minor,0,,no_jar
alibaba/fastjson2,2313,1,com.fasterxml.jackson:jackson-bom,2.16.1,2.16.2,patch,0,,no_jar
alibaba/fastjson2,2204,1,com.fasterxml.jackson:jackson-bom,2.16.0,2.16.1,patch,0,,no_jar
alibaba/fastjson2,2023,1,com.fasterxml.jackson:jackson-bom,2.15.3,2.16.0,minor,0,,no_jar
alibaba/fastjson2,1935,1,com.fasterxml.jackson:jackson-bom,2.15.2,2.15.3,patch,0,,no_jar
Cosium/matrix-communication-client,60,1,com.fasterxml.jackson:jackson-bom,2.17.0,2.17.1,patch,0,,no_jar
Cosium/matrix-communication-client,54,1,com.fasterxml.jackson:jackson-bom,2.16.2,2.17.0,minor,0,,no_jar
Cosium/matrix-communication-client,50,1,com.fasterxml.jackson:jackson-bom,2.16.1,2.16.2,patch,0,,no_jar
Cosium/matrix-communication-client,37,1,com.fasterxml.jackson:jackson-bom,2.16.0,2.16.1,patch,0,,no_jar
Cosium/matrix-communication-client,33,1,com.fasterxml.jackson:jackson-bom,2.15.3,2.16.0,minor,0,,no_jar
Cosium/matrix-communication-client,28,1,com.fasterxml.jackson:jackson-bom,2.15.2,2.15.3,patch,0,,no_jar
OpenFeign/querydsl,240,1,com.fasterxml:classmate,1.6.0,1.7.0,minor,0,,
OpenFeign/querydsl,234,1,com.fasterxml:classmate,1.6.0,1.7.0,minor,0,,
OpenFeign/querydsl,75,1,com.fasterxml:classmate,1.5.1,1.6.0,minor,0,,
kspalaiologos/kamilalisp,64,1,com.formdev:flatlaf,3.2.2,3.2.5,patch,1,0,no_maven
kspalaiologos/kamilalisp,58,1,com.formdev:flatlaf,3.2.1,3.2.2,patch,1,0,no_maven
kspalaiologos/kamilalisp,54,1,com.formdev:flatlaf,3.2,3.2.1,patch,1,0,no_maven
kspalaiologos/kamilalisp,45,1,com.formdev:flatlaf,3.1.1,3.2,minor,0,,
sventorben/keycloak-home-idp-discovery,356,1,com.github.dasniko:testcontainers-keycloak,3.3.0,3.3.1,patch,1,0,no_test
sventorben/keycloak-home-idp-discovery,332,1,com.github.dasniko:testcontainers-keycloak,3.2.0,3.3.0,minor,1,0,no_test
sventorben/keycloak-home-idp-discovery,277,1,com.github.dasniko:testcontainers-keycloak,3.1.0,3.2.0,minor,1,0,no_test
sventorben/keycloak-home-idp-discovery,267,1,com.github.dasniko:testcontainers-keycloak,3.0.0,3.1.0,minor,1,0,no_test
devlive-community/datacap,430,1,com.github.eirslett:frontend-maven-plugin,1.12.1,1.13.4,minor,1,0,no_test
gameyfin/gameyfin,220,1,com.github.eirslett:frontend-maven-plugin,1.14.2,1.15.0,minor,1,0,no_test
gameyfin/gameyfin,196,1,com.github.eirslett:frontend-maven-plugin,1.14.0,1.14.2,patch,1,0,no_test
gameyfin/gameyfin,162,1,com.github.eirslett:frontend-maven-plugin,1.12.1,1.14.0,minor,1,0,no_test
OpenFeign/querydsl,332,1,com.github.ekryd.sortpom:sortpom-maven-plugin,3.4.0,3.4.1,patch,1,0,no_test
OpenFeign/querydsl,311,1,com.github.ekryd.sortpom:sortpom-maven-plugin,3.3.0,3.4.0,minor,1,0,no_test
alibaba/fastjson2,2162,1,com.github.erosb:everit-json-schema,1.14.3,1.14.4,patch,1,,
alibaba/fastjson2,1960,1,com.github.erosb:everit-json-schema,1.14.2,1.14.3,patch,1,,
HaHaWTH/AdvancedSensitiveWords,12,1,com.github.houbb:sensitive-word,0.15.0,0.16.1,minor,0,,
HaHaWTH/AdvancedSensitiveWords,7,1,com.github.houbb:sensitive-word,0.13.4,0.14.0,minor,0,,
HaHaWTH/AdvancedSensitiveWords,6,1,com.github.houbb:sensitive-word,0.13.2,0.13.4,patch,1,,
HaHaWTH/AdvancedSensitiveWords,5,1,com.github.houbb:sensitive-word,0.13.1,0.13.2,patch,1,,
HaHaWTH/AdvancedSensitiveWords,2,1,com.github.houbb:sensitive-word,0.13.0,0.13.1,patch,1,,
OpenFeign/querydsl,327,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.19.1,0.20.0,minor,1,,
OpenFeign/querydsl,324,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.18.5,0.19.1,minor,0,,
OpenFeign/querydsl,303,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.18.3,0.18.4,patch,1,,
OpenFeign/querydsl,421,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.21.1,0.21.2,patch,1,,
OpenFeign/querydsl,407,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.20.0,0.21.1,minor,1,,
instancio/instancio,1012,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.21.1,0.21.2,patch,1,,
instancio/instancio,999,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.21.0,0.21.1,patch,1,,
instancio/instancio,998,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.20.0,0.21.0,minor,1,,
instancio/instancio,950,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.19.1,0.20.0,minor,1,,
instancio/instancio,944,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.18.5,0.19.1,minor,0,,
instancio/instancio,922,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.18.4,0.18.5,patch,1,,
instancio/instancio,916,1,com.github.siom79.japicmp:japicmp-maven-plugin,0.18.3,0.18.4,patch,1,,
instancio/instancio,1011,1,com.github.spotbugs:spotbugs-maven-plugin,4.8.4.0,4.8.5.0,patch,1,0,no_test
instancio/instancio,986,1,com.github.spotbugs:spotbugs-maven-plugin,4.8.3.1,4.8.4.0,patch,1,0,no_test
aws/event-ruler,158,1,com.github.spotbugs:spotbugs-maven-plugin,4.8.4.0,4.8.5.0,patch,1,0,no_test
aws/event-ruler,142,1,com.github.spotbugs:spotbugs-maven-plugin,4.8.3.0,4.8.3.1,other,1,0,no_test
aws/event-ruler,139,1,com.github.spotbugs:spotbugs-maven-plugin,4.8.2.0,4.8.3.0,patch,0,,
aws/event-ruler,135,1,com.github.spotbugs:spotbugs-maven-plugin,4.8.1.0,4.8.2.0,patch,0,,
aws/event-ruler,113,1,com.github.spotbugs:spotbugs-maven-plugin,4.7.3.5,4.7.3.6,other,1,0,no_test
jhipster/jhipster-lite,9724,1,com.github.spullara.mustache.java:compiler,0.9.12,0.9.13,patch,1,1,
jhipster/jhipster-lite,9693,1,com.github.spullara.mustache.java:compiler,0.9.11,0.9.12,patch,1,1,
spring-projects-experimental/spring-boot-migrator,914,1,com.github.tomakehurst:wiremock-jre8,2.26.3,2.35.1,minor,0,,
hbelmiro/100DaysOfJava,106,1,com.github.tomakehurst:wiremock-jre8,2.35.1,2.35.2,patch,1,0,no_maven
hbelmiro/100DaysOfJava,58,1,com.github.tomakehurst:wiremock-jre8,2.35.0,2.35.1,patch,0,,
usdAG/FlowMate,11,1,com.github.wnameless.json:json-flattener,0.16.4,0.16.6,patch,1,1,
GoogleCloudPlatform/jit-access,387,1,com.google.apis:google-api-services-admin-directory,directory_v1-rev20240429-2.0.0,directory_v1-rev20240507-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,368,1,com.google.apis:google-api-services-admin-directory,directory_v1-rev20240304-2.0.0,directory_v1-rev20240429-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,319,1,com.google.apis:google-api-services-admin-directory,directory_v1-rev20240227-2.0.0,directory_v1-rev20240304-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,301,1,com.google.apis:google-api-services-admin-directory,directory_v1-rev20240220-2.0.0,directory_v1-rev20240227-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,285,1,com.google.apis:google-api-services-admin-directory,directory_v1-rev20240102-2.0.0,directory_v1-rev20240220-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,362,1,com.google.apis:google-api-services-cloudasset,v1-rev20240217-2.0.0,v1-rev20240412-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,282,1,com.google.apis:google-api-services-cloudasset,v1-rev20240126-2.0.0,v1-rev20240217-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,264,1,com.google.apis:google-api-services-cloudasset,v1-rev20240119-2.0.0,v1-rev20240126-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,260,1,com.google.apis:google-api-services-cloudasset,v1-rev20231201-2.0.0,v1-rev20240119-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,212,1,com.google.apis:google-api-services-cloudasset,v1-rev20231111-2.0.0,v1-rev20231201-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,206,1,com.google.apis:google-api-services-cloudasset,v1-rev20231103-2.0.0,v1-rev20231111-2.0.0,major,0,,
GoogleCloudPlatform/jit-access,197,1,com.google.apis:google-api-services-cloudasset,v1-rev20231013-2.0.0,v1-rev20231103-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,178,1,com.google.apis:google-api-services-cloudasset,v1-rev20230922-2.0.0,v1-rev20231013-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,166,1,com.google.apis:google-api-services-cloudasset,v1-rev20230908-2.0.0,v1-rev20230922-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,157,1,com.google.apis:google-api-services-cloudasset,v1-rev20230902-2.0.0,v1-rev20230908-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,147,1,com.google.apis:google-api-services-cloudasset,v1-rev20230805-2.0.0,v1-rev20230902-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,131,1,com.google.apis:google-api-services-cloudasset,v1-rev20230609-2.0.0,v1-rev20230805-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,382,1,com.google.apis:google-api-services-cloudidentity,v1-rev20240312-2.0.0,v1-rev20240507-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,328,1,com.google.apis:google-api-services-cloudidentity,v1-rev20240206-2.0.0,v1-rev20240312-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,326,1,com.google.apis:google-api-services-cloudresourcemanager,v3-rev20240303-2.0.0,v3-rev20240310-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,314,1,com.google.apis:google-api-services-cloudresourcemanager,v3-rev20240128-2.0.0,v3-rev20240303-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,266,1,com.google.apis:google-api-services-cloudresourcemanager,v3-rev20231022-2.0.0,v3-rev20240128-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,183,1,com.google.apis:google-api-services-cloudresourcemanager,v3-rev20230806-2.0.0,v3-rev20231022-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,128,1,com.google.apis:google-api-services-cloudresourcemanager,v3-rev20230507-2.0.0,v3-rev20230806-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,325,1,com.google.apis:google-api-services-iamcredentials,v1-rev20211203-2.0.0,v1-rev20240227-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,381,1,com.google.apis:google-api-services-pubsub,v1-rev20240319-2.0.0,v1-rev20240430-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,356,1,com.google.apis:google-api-services-pubsub,v1-rev20240220-2.0.0,v1-rev20240319-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,300,1,com.google.apis:google-api-services-pubsub,v1-rev20240208-2.0.0,v1-rev20240220-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,273,1,com.google.apis:google-api-services-pubsub,v1-rev20240126-2.0.0,v1-rev20240208-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,261,1,com.google.apis:google-api-services-pubsub,v1-rev20231104-2.0.0,v1-rev20240126-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,210,1,com.google.apis:google-api-services-pubsub,v1-rev20230830-2.0.0,v1-rev20231104-2.0.0,major,1,,
