ga,version,repository,tag_name,tag_commit,err
com.google.apis:google-api-services-cloudasset,v1-rev20240412-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudidentity,v1-rev20240206-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudidentity,v1-rev20240312-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudidentity,v1-rev20240507-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudresourcemanager,v3-rev20230507-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudresourcemanager,v3-rev20230806-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudresourcemanager,v3-rev20231022-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudresourcemanager,v3-rev20240128-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudresourcemanager,v3-rev20240303-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudresourcemanager,v3-rev20240310-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-iamcredentials,v1-rev20211203-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-iamcredentials,v1-rev20240227-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-pubsub,v1-rev20230830-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-pubsub,v1-rev20231104-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-pubsub,v1-rev20240126-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-pubsub,v1-rev20240208-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-pubsub,v1-rev20240220-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-pubsub,v1-rev20240319-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-pubsub,v1-rev20240430-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-secretmanager,v1-rev20230421-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-secretmanager,v1-rev20230804-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-secretmanager,v1-rev20240126-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-secretmanager,v1-rev20240309-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-secretmanager,v1-rev20240314-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-secretmanager,v1-rev20240424-2.0.0,,,,NO_GITHUB
com.google.auth:google-auth-library-oauth2-http,1.19.0,googleapis/google-auth-library-java,v1.19.0,469d342ead21cc5b3e293fa6ec6cae1d6c781dbc,
com.google.auth:google-auth-library-oauth2-http,1.20.0,googleapis/google-auth-library-java,v1.20.0,819b3cb02ee8e4199258fa37bcb65d478b66042b,
com.google.auth:google-auth-library-oauth2-http,1.22.0,googleapis/google-auth-library-java,v1.22.0,7bf2732deecf18c4317a16bbf3d7fde9b5625725,
com.google.auth:google-auth-library-oauth2-http,1.23.0,googleapis/google-auth-library-java,v1.23.0,527ad4b52cfda9361de922dcf9014d591f3ad8ff,
com.google.cloud.tools:jib-maven-plugin,3.3.2,GoogleContainerTools/jib,v3.3.2-maven,a6b2209a230ce61fafe81858af893aa8be16ad90,
com.google.cloud.tools:jib-maven-plugin,3.4.0,GoogleContainerTools/jib,v3.4.0-maven,d7c8a4c6ff05acd255ccbfc033fc68b29be0e6f4,
com.google.cloud.tools:jib-maven-plugin,3.4.1,GoogleContainerTools/jib,v3.4.1-maven,fc81572cfce3367b58062438778f5e8f4b55d9c6,
com.google.cloud.tools:jib-maven-plugin,3.4.2,GoogleContainerTools/jib,v3.4.2-maven,19942e9909f766e82ba2a0127af123cccc8e0de0,
com.google.cloud:google-cloud-spanner-jdbc,2.14.6,googleapis/java-spanner-jdbc,v2.14.6,e54fd26ac8f88624e6f92ad3e56a4dc59382b9b8,
com.google.cloud:google-cloud-spanner-jdbc,2.15.1,googleapis/java-spanner-jdbc,v2.15.1,87873ae6aa2b42e08ebdbc1d0962b98e73cfa436,
com.google.cloud:google-cloud-spanner-jdbc,2.15.2,googleapis/java-spanner-jdbc,v2.15.2,3cc9d9db1c969e594e841dd6b6bafa925881ecac,
com.google.cloud:google-cloud-spanner-jdbc,2.15.3,googleapis/java-spanner-jdbc,v2.15.3,5694d10709f9fb0eebed5d3e357d04050ebef811,
com.google.cloud:google-cloud-spanner-jdbc,2.15.4,googleapis/java-spanner-jdbc,v2.15.4,d2e6d067460afc80dcb64214645d0ecd6586ba8b,
com.google.cloud:google-cloud-spanner-jdbc,2.15.5,googleapis/java-spanner-jdbc,v2.15.5,6768a197459558bc750c2e6291daf8f49b3f4c70,
com.google.cloud:google-cloud-spanner-jdbc,2.16.0,googleapis/java-spanner-jdbc,v2.16.0,138d637f1f66831cb86554ee566feb2a153c3f12,
com.google.cloud:google-cloud-spanner-jdbc,2.16.1,googleapis/java-spanner-jdbc,v2.16.1,7a40c7e63571b21f56dfba4338994c3640324be3,
com.google.guava:guava,32.1.1-jre,google/guava,v32.1.1,427223e9f94406013f1bc77fa0bd1231a1475645,
com.google.guava:guava,32.1.2-jre,google/guava,v32.1.2,db74bd2fdac443223d45e6fc5c66548542be1081,
com.google.guava:guava,32.1.3-jre,google/guava,v32.1.3,c1088508ddc78bd60d096d2cc3ceef4a82ec909d,
com.google.guava:guava,33.0.0-jre,,,,NO_GITHUB
com.google.guava:guava,33.1.0-jre,google/guava,v33.1.0,f3e095c3b318f3e6dfeef393146ce5561ec8f859,
com.google.guava:guava,33.2.0-jre,google/guava,v33.2.0,73856da06403d5d087007d3924c168c822dea23c,
