ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,err
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.7,OpenAPITools/openapi-diff,2.1.0-beta.7,OpenAPITools/openapi-diff,2.1.0-beta.7,98618defd19fd29043b90e8f6d523aea3af7264a,True,True,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.1,OpenAPITools/openapi-diff,2.1.0-beta.1,OpenAPITools/openapi-diff,2.1.0-beta.1,1cf16b8beea796e4549d0f6d13bd2ac60f75dc68,True,True,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.4,OpenAPITools/openapi-diff,2.1.0-beta.4,OpenAPITools/openapi-diff,2.1.0-beta.4,d97efb0d9dd8a552ef5e3102d3a4fa12ffdc9c39,True,True,
org.openapitools.openapidiff:openapi-diff-parent,2.0.1,OpenAPITools/openapi-diff,2.0.1,OpenAPITools/openapi-diff,2.0.1,4d755a6aa22f06936bad7b1a8fdaa07182976632,True,True,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.2,OpenAPITools/openapi-diff,2.1.0-beta.2,OpenAPITools/openapi-diff,2.1.0-beta.2,40b8c441ea5e61d50f582a85e3264641dd359161,True,True,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.8,OpenAPITools/openapi-diff,2.1.0-beta.8,OpenAPITools/openapi-diff,2.1.0-beta.8,efd40a90a09fee96aa36c643fda28a0d664d0427,True,True,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.5,OpenAPITools/openapi-diff,2.1.0-beta.5,OpenAPITools/openapi-diff,2.1.0-beta.5,8fe1b8c84faf336f17ff699828134dfb5fabad1f,True,True,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.3,OpenAPITools/openapi-diff,2.1.0-beta.3,OpenAPITools/openapi-diff,2.1.0-beta.3,16616c6ff8541e422be2820d9469b21d867ac3fe,True,True,
org.simplify4u:slf4j-mock,2.3.0,s4u/slf4j-mock,v2.3.0,s4u/slf4j-mock,v2.3.0,5059b0754c0a9790f265a2abc43942fab90162e0,True,True,
org.simplify4u:slf4j-mock,2.2.0,s4u/slf4j-mock,v2.2.0,s4u/slf4j-mock,v2.2.0,c3e8d1dc0b76bac65e441009abc91273801089a0,True,True,
org.simplify4u:slf4j-mock,2.1.1,s4u/slf4j-mock,v2.1.1,s4u/slf4j-mock,v2.1.1,4bdb52786f20a7b181ddaced80884d23fe100aaf,True,True,
org.simplify4u:slf4j-mock,2.1.0,s4u/slf4j-mock,v2.1.0,s4u/slf4j-mock,v2.1.0,04c99b3751948b9d6cdedac5ee28908016c85387,True,True,
org.simplify4u.plugins:pgpverify-maven-plugin,1.15.0,s4u/pgpverify-maven-plugin,v1.15.0,s4u/pgpverify-maven-plugin,v1.15.0,bf6bf8b508ef17622b814b2e6adaa0d26589da2c,True,True,
org.simplify4u.plugins:pgpverify-maven-plugin,1.16.0,s4u/pgpverify-maven-plugin,v1.16.0,s4u/pgpverify-maven-plugin,v1.16.0,968104b1d08d31b3ae514700597c55bebf8c9012,True,True,
org.simplify4u.plugins:pgpverify-maven-plugin,1.13.0,s4u/pgpverify-maven-plugin,v1.13.0,s4u/pgpverify-maven-plugin,v1.13.0,1ee314c2b603d92f02cbcb7cdc1f4846461b7817,True,True,
org.simplify4u.plugins:pgpverify-maven-plugin,1.14.0,s4u/pgpverify-maven-plugin,v1.14.0,s4u/pgpverify-maven-plugin,v1.14.0,c96f9987ac9994730261bfb4a0b76e55146ee29d,True,True,
org.simplify4u.plugins:pgpverify-maven-plugin,1.11.0,s4u/pgpverify-maven-plugin,v1.11.0,s4u/pgpverify-maven-plugin,v1.11.0,974a3bf03a7e14718b20518da8ad0342d481671f,True,True,
org.simplify4u.plugins:pgpverify-maven-plugin,1.14.1,s4u/pgpverify-maven-plugin,v1.14.1,s4u/pgpverify-maven-plugin,v1.14.1,61f3de80679abd966b7a970e457559878b557729,True,True,
