ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err
org.simplify4u:pgp-keys-map,2022.07.02,s4u/pgp-keys-map,v2022.07.02,,,,,,,
org.simplify4u:pgp-keys-map,2021.03.02,s4u/pgp-keys-map,v2021.03.02,,,,,,,
org.simplify4u:pgp-keys-map,2022.09.15,s4u/pgp-keys-map,v2022.09.15,,,,,,,
org.simplify4u:pgp-keys-map,2023.01.09,s4u/pgp-keys-map,v2023.01.09,,,,,,,
org.simplify4u:pgp-keys-map,2022.05.12,s4u/pgp-keys-map,v2022.05.12,,,,,,,
org.simplify4u:pgp-keys-map,2021.07.02,s4u/pgp-keys-map,v2021.07.02,,,,,,,
org.simplify4u:pgp-keys-map,2023.11.23,s4u/pgp-keys-map,v2023.11.23,,,,,,,
org.simplify4u:pgp-keys-map,2021.10.13,s4u/pgp-keys-map,v2021.10.13,,,,,,,
org.simplify4u:pgp-keys-map,2022.02.05,s4u/pgp-keys-map,v2022.02.05,,,,,,,
org.simplify4u:pgp-keys-map,2021.05.15,s4u/pgp-keys-map,v2021.05.15,,,,,,,
org.simplify4u:pgp-keys-map,2021.12.28,s4u/pgp-keys-map,v2021.12.28,,,,,,,
org.simplify4u:pgp-keys-map,2021.07.17,s4u/pgp-keys-map,v2021.07.17,,,,,,,
org.simplify4u:pgp-keys-map,2021.11.19,s4u/pgp-keys-map,v2021.11.19,,,,,,,
org.simplify4u:pgp-keys-map,2021.09.18,s4u/pgp-keys-map,v2021.09.18,,,,,,,
org.simplify4u:pgp-keys-map,2021.04.06,s4u/pgp-keys-map,v2021.04.06,,,,,,,
org.simplify4u:pgp-keys-map,2021.06.17,s4u/pgp-keys-map,v2021.06.17,,,,,,,
org.quickperf:quick-perf,1.0.1,quick-perf/quickperf,release-1.0.1,,,,,,,
org.quickperf:quick-perf,1.0.0,quick-perf/quickperf,release-1.0.0,,,,,,,
org.quickperf:quick-perf,1.1.0,quick-perf/quickperf,release-1.1.0,,,,,,,
org.phoebus:parent,4.7.3,ControlSystemStudio/phoebus,v4.7.3,,,,,,,
org.sentrysoftware:vcenter,1.0.00,sentrysoftware/vcenter,v1.0.00,,,,,,,
org.sentrysoftware:jawk,3.1.01,sentrysoftware/jawk,v3.1.01,,,,,,,
org.sentrysoftware:jawk,3.0.01,sentrysoftware/jawk,v3.0.01,,,,,,,
org.sentrysoftware:jawk,3.1.00,sentrysoftware/jawk,v3.1.00,,,,,,,
org.sentrysoftware:jawk,3.0.00,sentrysoftware/jawk,v3.0.00,,,,,,,
org.sentrysoftware:jawk,3.1.02,sentrysoftware/jawk,v3.1.02,,,,,,,
org.sentrysoftware:snmp,1.0.00,sentrysoftware/snmp,v1.0.00,,,,,,,
org.sentrysoftware:winrm,1.0.00,sentrysoftware/winrm,v1.0.00,,,,,,,
org.sentrysoftware:wmi,1.0.00,sentrysoftware/wmi,v1.0.00,,,,,,,
org.sentrysoftware.maven:sentry-maven-skin,6.1.00,sentrysoftware/sentry-maven-skin,v6.1.00,,,,,,,
org.sentrysoftware.maven:sentry-maven-skin,6.0.01,sentrysoftware/sentry-maven-skin,v6.0.01,,,,,,,
org.sentrysoftware.maven:maven-skin-tools,1.2.00,sentrysoftware/maven-skin-tools,v1.2.00,,,,,,,
org.sentrysoftware.maven:maven-skin-tools,1.3.00,sentrysoftware/maven-skin-tools,v1.3.00,,,,,,,
org.sentrysoftware.maven:maven-skin-tools,1.1.00,sentrysoftware/maven-skin-tools,v1.1.00,,,,,,,
org.sentrysoftware.maven:maven-skin-tools,1.0.00,sentrysoftware/maven-skin-tools,v1.0.00,,,,,,,
org.sentrysoftware:jflat,1.0.00,sentrysoftware/jflat,v1.0.00,,,,,,,
org.sentrysoftware:wbem,1.0.00,sentrysoftware/wbem,v1.0.00,,,,,,,
org.sentrysoftware:xflat,1.0.00,sentrysoftware/xflat,v1.0.00,,,,,,,
org.sentrysoftware:tablejoin,1.0.00,sentrysoftware/tablejoin,v1.0.00,,,,,,,
org.sentrysoftware:ssh,1.0.00,sentrysoftware/ssh,v1.0.00,,,,,,,
org.sentrysoftware:http,1.0.00,sentrysoftware/http,v1.0.00,,,,,,,
org.sentrysoftware:printf4j,0.9.05,sentrysoftware/printf4j,v0.9.05,,,,,,,
org.sentrysoftware:ipmi,1.0.00,sentrysoftware/ipmi,v1.0.00,,,,,,,
org.owasp:dependency-check-parent,7.4.2,jeremylong/DependencyCheck,v7.4.2,,,,,,,
org.owasp:dependency-check-parent,9.0.7,jeremylong/DependencyCheck,v9.0.7,,,,,,,
org.owasp:dependency-check-parent,8.2.1,jeremylong/DependencyCheck,v8.2.1,,,,,,,
org.owasp:dependency-check-parent,8.0.2,jeremylong/DependencyCheck,v8.0.2,,,,,,,
org.owasp:dependency-check-parent,8.4.0,jeremylong/DependencyCheck,v8.4.0,,,,,,,
org.owasp:dependency-check-parent,7.4.4,jeremylong/DependencyCheck,v7.4.4,,,,,,,
org.owasp:dependency-check-parent,8.1.0,jeremylong/DependencyCheck,v8.1.0,,,,,,,
org.owasp:dependency-check-parent,9.0.1,jeremylong/DependencyCheck,v9.0.1,,,,,,,
org.owasp:dependency-check-parent,7.4.3,jeremylong/DependencyCheck,v7.4.3,,,,,,,
org.owasp:dependency-check-parent,9.0.6,jeremylong/DependencyCheck,v9.0.6,,,,,,,
org.owasp:dependency-check-parent,8.2.0,jeremylong/DependencyCheck,v8.2.0,,,,,,,
org.owasp:dependency-check-parent,8.4.1,jeremylong/DependencyCheck,v8.4.1,,,,,,,
org.owasp:dependency-check-parent,8.1.1,jeremylong/DependencyCheck,v8.1.1,,,,,,,
org.owasp:dependency-check-parent,9.0.0,jeremylong/DependencyCheck,v9.0.0,,,,,,,
org.owasp:dependency-check-parent,7.4.0,jeremylong/DependencyCheck,v7.4.0,,,,,,,
org.owasp:dependency-check-parent,9.0.8,jeremylong/DependencyCheck,v9.0.8,,,,,,,
org.owasp:dependency-check-parent,8.0.0,jeremylong/DependencyCheck,v8.0.0,,,,,,,
org.owasp:dependency-check-parent,8.4.2,jeremylong/DependencyCheck,v8.4.2,,,,,,,
org.owasp:dependency-check-parent,9.0.5,jeremylong/DependencyCheck,v9.0.5,,,,,,,
org.owasp:dependency-check-parent,8.1.2,jeremylong/DependencyCheck,v8.1.2,,,,,,,
org.owasp:dependency-check-parent,8.3.1,jeremylong/DependencyCheck,v8.3.1,,,,,,,
org.owasp:dependency-check-parent,7.0.4,jeremylong/DependencyCheck,v7.0.4,,,,,,,
org.owasp:dependency-check-parent,9.0.3,jeremylong/DependencyCheck,v9.0.3,,,,,,,
org.owasp:dependency-check-parent,7.1.0,jeremylong/DependencyCheck,v7.1.0,,,,,,,
org.owasp:dependency-check-parent,7.4.1,jeremylong/DependencyCheck,v7.4.1,,,,,,,
org.owasp:dependency-check-parent,9.0.9,jeremylong/DependencyCheck,v9.0.9,,,,,,,
org.owasp:dependency-check-parent,8.4.3,jeremylong/DependencyCheck,v8.4.3,,,,,,,
org.owasp:dependency-check-parent,8.0.1,jeremylong/DependencyCheck,v8.0.1,,,,,,,
org.owasp:dependency-check-parent,6.5.0,jeremylong/DependencyCheck,v6.5.0,,,,,,,
org.owasp:dependency-check-parent,9.0.4,jeremylong/DependencyCheck,v9.0.4,,,,,,,
org.owasp:dependency-check-parent,9.0.2,jeremylong/DependencyCheck,v9.0.2,,,,,,,
org.owasp:dependency-check-parent,7.3.2,jeremylong/DependencyCheck,v7.3.2,,,,,,,
org.owasp.antisamy:antisamy,1.6.4,nahsra/antisamy,v1.6.4,,,,,,,
org.owasp.antisamy:antisamy,1.7.0,nahsra/antisamy,v1.7.0,,,,,,,
org.owasp.antisamy:antisamy,1.6.2,nahsra/antisamy,v1.6.2,,,,,,,
org.owasp.antisamy:antisamy,1.6.5,nahsra/antisamy,v1.6.5,,,,,,,
org.owasp.antisamy:antisamy,1.7.1,nahsra/antisamy,v1.7.1,,,,,,,
org.owasp.antisamy:antisamy,1.6.8,nahsra/antisamy,v1.6.8,,,,,,,
org.owasp.antisamy:antisamy,1.6.3,nahsra/antisamy,1.6.3,,,,,,,
org.owasp.antisamy:antisamy,1.6.6,nahsra/antisamy,v1.6.6,,,,,,,
org.owasp.antisamy:antisamy,1.7.2,nahsra/antisamy,v1.7.2,,,,,,,
org.owasp.antisamy:antisamy,1.6.0,nahsra/antisamy,v1.6.0,,,,,,,
org.owasp.antisamy:antisamy,1.7.4,nahsra/antisamy,v1.7.4,,,,,,,
org.owasp.antisamy:antisamy,1.6.7,nahsra/antisamy,a0ec25d2ec70b794e6a78f6251c21735696ea832,,,,,,,
org.owasp.antisamy:antisamy,1.7.3,nahsra/antisamy,v1.7.3,,,,,,,
org.owasp.antisamy:antisamy,1.6.1,nahsra/antisamy,v1.6.1,,,,,,,
org.owasp.antisamy:antisamy,1.6.6.1,nahsra/antisamy,v1.6.6.1,,,,,,,
org.complate:complate-core,0.2.0,complate/complate-java,v0.2.0,,,,,,,
org.complate:complate-parent,1.0.0,complate/complate-java,v1.0.0,,,,,,,
org.complate:complate-parent,0.3.0,complate/complate-java,v0.3.0,,,,,,,
org.complate:complate-spring-mvc,0.7.0,complate/complate-spring,v0.7.0,,,,,,,
org.complate:complate-spring-mvc,1.0.0,complate/complate-spring,v1.0.0,,,,,,,
org.eclipse.jetty:jetty-project,12.0.1,eclipse/jetty.project,jetty-12.0.1,,,,,,,
org.eclipse.jetty:jetty-project,12.0.3,eclipse/jetty.project,jetty-12.0.3,,,,,,,
org.eclipse.jetty:jetty-project,12.0.4,eclipse/jetty.project,jetty-12.0.4,,,,,,,
org.eclipse.jetty:jetty-project,12.0.2,eclipse/jetty.project,jetty-12.0.2,,,,,,,
org.eclipse.transformer:org.eclipse.transformer.parent,0.5.0,eclipse/transformer,0.5.0,,,,,,,
org.eclipse.transformer:org.eclipse.transformer.parent,0.4.0,eclipse/transformer,0.4.0,,,,,,,
org.eclipse.transformer:org.eclipse.transformer.parent,0.2.0,eclipse/transformer,0.2.0,,,,,,,
org.eclipse.jkube:jkube,1.6.0,eclipse/jkube,v1.6.0,,,,,,,
org.eclipse.jkube:jkube,1.10.0,eclipse/jkube,v1.10.0,,,,,,,
org.eclipse.jkube:jkube,1.9.1,eclipse/jkube,v1.9.1,,,,,,,
org.eclipse.jkube:jkube,1.13.1,eclipse/jkube,v1.13.1,,,,,,,
org.eclipse.jkube:jkube,1.15.0,eclipse/jkube,v1.15.0,,,,,,,
org.eclipse.jkube:jkube,1.3.0,eclipse/jkube,v1.3.0,,,,,,,
org.eclipse.jkube:jkube,1.5.1,eclipse/jkube,v1.5.1,,,,,,,
org.eclipse.jkube:jkube,1.9.0,eclipse/jkube,v1.9.0,,,,,,,
org.eclipse.jkube:jkube,1.10.1,eclipse/jkube,v1.10.1,,,,,,,
org.eclipse.jkube:jkube,1.13.0,eclipse/jkube,v1.13.0,,,,,,,
org.eclipse.jkube:jkube,1.5.0,eclipse/jkube,v1.5.0,,,,,,,
org.eclipse.jkube:jkube,1.2.0,eclipse/jkube,v1.2.0,,,,,,,
org.eclipse.jkube:jkube,1.14.0,eclipse/jkube,v1.14.0,,,,,,,
org.eclipse.jkube:jkube,1.11.0,eclipse/jkube,v1.11.0,,,,,,,
