ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err,manual_eval
com.io7m.primogenitor:com.io7m.primogenitor,6.0.0,io7m/primogenitor,b5db9199855f78bb5b688bcf16206da9c37205f3,io7m-com/primogenitor,com.io7m.primogenitor-6.0.0,5db6c9eaa5d8d29bf071366f9f85a79cccbb1599,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,6.3.0,io7m/primogenitor,ec8c74b3122b0c60a757202aa895f5b34bff670e,io7m-com/primogenitor,com.io7m.primogenitor-6.3.0,e602d942e9ef6bb9f670eafcd31caa54034834ae,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,7.0.0-beta0002,io7m/primogenitor,beb046cacd0b86ff33db402df4eea34c9ab60d94,io7m-com/primogenitor,com.io7m.primogenitor-7.0.0-beta0002,e367f8184f5995c420fccc3c08eaa19b47ee186c,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,6.0.0-beta0003,io7m/primogenitor,ac7a330222208c3fed20c0d34d744ef83e73de95,io7m-com/primogenitor,com.io7m.primogenitor-6.0.0-beta0003,c46c19d4c73fe32275c5fb47ad8d88df019592d0,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,3.8.0,io7m/primogenitor,90b9fe9843fe439b4a313e9c5854901fee9d19f2,io7m-com/primogenitor,com.io7m.primogenitor-3.8.0,24bdcd48eebef60c21d043746bfa405a15a9e4b3,True,False,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,6.1.0,io7m/primogenitor,50e247fb28d651e87327319b2378d2017c1a9515,io7m-com/primogenitor,com.io7m.primogenitor-6.1.0,cfe08062640c3ebdb2aba6cc46b3df512bbe7aeb,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,7.0.0-beta0001,io7m/primogenitor,2152d767735ae32875feecf0c5d0a8b29c5c31c4,io7m-com/primogenitor,com.io7m.primogenitor-7.0.0-beta0001,d179f9bda6e72b07d37f5aa6918cb1fe616ec54a,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,4.0.1,io7m/primogenitor,e00332a262b6d47350e976cdc18f293c0946ef96,io7m-com/primogenitor,com.io7m.primogenitor-4.0.1,4e6fee9205a0d235c0d85642351b58a348316eb0,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,3.9.0,io7m/primogenitor,5b0b0e54897bf6a769401297294714e3f374bfbb,io7m-com/primogenitor,com.io7m.primogenitor-3.9.0,f8e661315be76dd617fa785e8d024a4a4abe32ee,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,7.0.0,io7m/primogenitor,05fa639e87d44ef418faf4b180d4db50e854dec7,io7m-com/primogenitor,com.io7m.primogenitor-7.0.0,101861186d783788593809348c4ec06f915a4cd4,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,4.0.0,io7m/primogenitor,9e1496da1efc5b02187525bf53195126919e070e,io7m-com/primogenitor,com.io7m.primogenitor-4.0.0,ee12e3ff6061459b89a77cb42317e39a35c649b6,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,6.0.0-beta0001,io7m/primogenitor,984b15bb4596f10fd1775ebd299cb2f2f7906d7c,io7m-com/primogenitor,com.io7m.primogenitor-6.0.0-beta0001,182488a5afd40124fde2ad1d3c56e5efe19e7aeb,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,6.2.0,io7m/primogenitor,5e836fcab2689754d5eefc7b14806fc8ad190732,io7m-com/primogenitor,com.io7m.primogenitor-6.2.0,575f2baf7428c6e7caaf0912787fa5e96c172a37,True,True,False,,CAT1_FAIL
com.io7m.jxtrand:com.io7m.jxtrand,1.0.0,io7m/jxtrand,4ea6d8f22179fcdcb38da95485e1b4644c9b7918,io7m-com/jxtrand,com.io7m.jxtrand-1.0.0,229b261578c244d4c7adeed7342f60be23f0c563,True,True,False,,CAT1_FAIL
