ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err,manual_eval
com.io7m.xoanon:com.io7m.xoanon,0.0.2,io7m/xoanon,com.io7m.xoanon-0.0.2,io7m-com/xoanon,com.io7m.xoanon-0.0.2,a950e8485816fd290dc04e24d34873d7af9bbf72,True,True,False,,
com.io7m.xoanon:com.io7m.xoanon,1.0.0-beta0001,io7m/xoanon,com.io7m.xoanon-1.0.0-beta0001,io7m-com/xoanon,com.io7m.xoanon-1.0.0-beta0001,4a9bf47adadcb33005ed3d63f2e4e005db736117,True,True,False,,
com.io7m.xoanon:com.io7m.xoanon,0.0.3,io7m/xoanon,com.io7m.xoanon-0.0.3,io7m-com/xoanon,com.io7m.xoanon-0.0.3,cd3b4c1fb499c6c0e731a9a0cd28653f58424631,True,True,False,,
com.io7m.xoanon:com.io7m.xoanon,0.0.1,io7m/xoanon,com.io7m.xoanon-0.0.1,io7m-com/xoanon,com.io7m.xoanon-0.0.1,40bd6ff1304324aab9d910e4c8b087a414799dba,True,True,False,,
com.io7m.digal:com.io7m.digal,0.0.5,io7m/digal,com.io7m.digal-0.0.5,io7m-com/digal,com.io7m.digal-0.0.5,6f1d05665f4c3697951157adc423b5c2b620d1c3,True,True,False,,
com.io7m.digal:com.io7m.digal,0.0.3,io7m/digal,com.io7m.digal-0.0.3,io7m-com/digal,com.io7m.digal-0.0.3,ac03cd6e58307303a5cbf9f51a6f0d3ef737f7cf,True,True,False,,
com.io7m.digal:com.io7m.digal,0.0.4,io7m/digal,com.io7m.digal-0.0.4,io7m-com/digal,com.io7m.digal-0.0.4,e30931185838179fb0e492da06bb35e2a6e1077c,True,True,False,,
com.io7m.digal:com.io7m.digal,0.0.2,io7m/digal,com.io7m.digal-0.0.2,io7m-com/digal,com.io7m.digal-0.0.2,66c2a16295891e391e6329c5942b863aef7abcf0,True,True,False,,
com.io7m.digal:com.io7m.digal,0.0.1,io7m/digal,com.io7m.digal-0.0.1,io7m-com/digal,com.io7m.digal-0.0.1,c2a9f8f9647d27472a86c883ef68461c724be8c3,True,True,False,,
com.io7m.verdant:com.io7m.verdant,0.0.1,io7m/verdant,com.io7m.verdant-0.0.1,io7m-com/verdant,com.io7m.verdant-0.0.1,a48c3c335691d7d69be63e7dd2f0b97b981df584,True,True,False,,
com.io7m.verdant:com.io7m.verdant,1.0.0,io7m/verdant,com.io7m.verdant-1.0.0,io7m-com/verdant,com.io7m.verdant-1.0.0,768f4d6e601b4740e741b139462667ba829e3072,True,True,False,,
com.io7m.jptbox:com.io7m.jptbox,2.0.0,io7m/jptbox,com.io7m.jptbox-2.0.0,io7m-com/jptbox,com.io7m.jptbox-2.0.0,83fe15303c0aee25816779a9688eefa268487352,True,True,False,,
com.io7m.streamtime:com.io7m.streamtime,0.0.1,io7m/streamtime,com.io7m.streamtime-0.0.1,io7m-com/streamtime,com.io7m.streamtime-0.0.1,1b744de76e32d4c61c213829fbc915c000500446,True,True,False,,
com.io7m.ervilla:com.io7m.ervilla,0.0.4,io7m/ervilla,com.io7m.ervilla-0.0.4,io7m-com/ervilla,com.io7m.ervilla-0.0.4,22f05921894f2046eb3b89099c10eaa0e8e85d15,True,True,False,,
