project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
org.scalablytyped.converter|importer_2.12|1.0.0-beta37,ch.epfl.scala|bloop-frontend_2.12|1.4.11,"[1.4.11,1.4.12-16-373bc94e]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.42,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.42,"[1.1.42,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.91,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.91,"[1.0.91,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.2,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.2,"[1.1.2,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.44,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.44,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.22,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.22,"[1.1.22,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.26,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.26,"[1.1.26,1.1.43]",6,success,,,
org.wso2.km.ext.wso2is|distribution|1.6.2,org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.2,"[1.6.2,1.6.3]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.14.7,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.7,"[9.14.7,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.47,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.47,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.95,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.95,"[1.0.95,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.16.1,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.16.1,"[9.16.1,9.22.84]",6,success,,,
org.wso2.km.ext.wso2is|distribution|1.6.1,org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.1,"[1.6.1,1.6.3]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.33,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.33,"[1.1.33,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.96,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.96,"[1.0.96,1.1.43]",6,success,,,
org.wso2.km.ext.wso2is|distribution|1.6.5,org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.5,No suitable version,6,failed,,Y,
