project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
com.gomcarter.frameworks|base|2.0.10,org.apache.logging.log4j|log4j-core|2.11.1,"[2.11.1,2.12.2]",1,success,,,
org.alluxio|alluxio-job-client|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
de.bmiag.tapir|tapir-launch-and-report-aggregator|4.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.12.2]",1,success,,,
io.nosqlbench|virtdata-api|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.14.1]",1,failed,Y,,
io.github.equipognoss|Gnoss-ApiWrapper-Java|1.0.0,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",1,success,,,
org.alluxio|alluxio-table-server-underdb-glue|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.alluxio|alluxio-stress|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.alliancegenome|agr_curation_api|0.0.0,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.14.1]",1,failed,Y,,
com.airwallex.airskiff|core|0.0.3,org.apache.logging.log4j|log4j-core|2.12.1,"[2.12.1,2.12.2]",1,success,,,
org.alluxio|alluxio-integration-jnifuse-fs|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
software.amazon.disco|disco-java-agent-instrumentation-preprocess|0.12.0,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
com.hifiveai|hifive-openapi|4.2.1_1-RELEASE,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
org.opencastproject|opencast-elasticsearch-impl|11.1,org.apache.logging.log4j|log4j-core|2.11.1,"[2.11.1,2.12.2]",1,success,,,
de.bmiag.tapir|tapir-selenium-htmlunit|4.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.10.0]",1,failed,Y,,
com.github.ocraft|ocraft-s2client-api|0.4.10,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
at.mlem|storm-api|0.2.4,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",1,success,,,
com.github.shoothzj|test-base|3.1.4,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.alluxio|alluxio-core-server-proxy|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.gomcarter.frameworks|base|2.0.9,org.apache.logging.log4j|log4j-core|2.11.1,"[2.11.1,2.12.2]",1,success,,,
org.alluxio|alluxio-job-server|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
io.github.lvyahui8|feego-common-logging|1.2.0,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.15.0]",1,success,,,
org.wso2.carbon.identity.framework|org.wso2.carbon.identity.testutil|5.20.276,org.apache.logging.log4j|log4j-core|2.12.0,"[2.12.0,2.12.2]",1,success,,,
com.github.furkandogan|web-automation-template|5.1,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.15.0]",1,success,,,
org.alluxio|alluxio-table-server|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
com.github.ocraft|ocraft-s2client-api|0.4.11,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy.spring|resteasy-integration-tests-spring-deployment|3.0.0.Beta1,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.alluxio|alluxio-job|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.github.ocraft|ocraft-s2client-api|0.4.13,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.airwallex.airskiff|core|1.0.0-no-watermark-02,org.apache.logging.log4j|log4j-core|2.12.1,"[2.12.1,2.12.2]",1,success,,,
de.bmiag.tapir|tapir-selenium-firefox|4.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.10.0]",1,failed,Y,,
org.jboss.resteasy|arquillian-utils|4.7.7.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
de.bmiag.tapir|tapir-assertion|4.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.11.2]",1,failed,Y,,
org.jboss.resteasy|resteasy-integration-tests-spring-unit|4.7.6.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.14.1]",1,failed,Y,,
io.nosqlbench|driver-grpc|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
de.bmiag.tapir|tapir-javafx|4.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.10.0]",1,failed,Y,,
io.nosqlbench|virtdata-lib-basics|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.alluxio|alluxio-table-server-underdb-hive|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-unit-tests|4.7.7.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.hifiveai|hifive-openapi|4.1.2_8-RELEASE,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
org.typesense|typesense-java|0.0.4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
org.alluxio|alluxio-table-server-underdb-glue|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
org.jboss.resteasy.spring|resteasy-integration-tests-spring-inmodule|3.0.0.Alpha2,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
com.codingame.gameengine|core|4.1.6,org.apache.logging.log4j|log4j-core|2.10.0,"[2.10.0,2.12.2]",1,success,,,
com.searchunify|su-sdk|1.0.0,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
de.bmiag.tapir|tapir-junit-execution|4.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.10.0]",1,failed,Y,,
cn.sliew|milky-common|1.0.6_8,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
com.github.hadii-tech|striff-lib|1.3.0,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.15.0]",1,success,,,
org.codelibs.fess|fess|13.15.2,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.typesense|typesense-java|0.0.5,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.netflix.conductor|conductor-es7-persistence|2.31.6,org.apache.logging.log4j|log4j-core|2.11.1,"[2.11.1,2.12.2]",1,success,,,
com.free-now.sauron.plugins|elasticsearch-output|0.0.25,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.13.3]",1,failed,Y,,
io.nosqlbench|driver-cqld3-shaded|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.14.1]",1,failed,Y,,
io.nosqlbench|driver-cql-shaded|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.14.1]",1,failed,Y,,
io.nosqlbench|driver-dsegraph-shaded|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring|4.7.8.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring|4.7.9.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.siliconmtn|nga-oe-java|0.1.52,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",1,success,,,
com.siliconmtn|spacelibs-java|1.2.7.4,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",1,success,,,
