project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.10.1,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.48,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.40,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
ch.epfl.scala|bloop-backend_2.12|1.4.11-53-ee093a60,org.scala-sbt|librarymanagement-ivy_2.12|1.0.0,"[1.0.0,1.6.0]",4,success,,,
org.wso2.carbon.identity.migration.resources|org.wso2.carbon.is.migration|1.0.193,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.46,"[1.5.46,1.6.1]",4,success,,,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.governance.server.feature|1.5.52,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.governance|1.5.52,"[1.5.52,1.5.84]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|17-0.13.0,us.ihmc|scs2-session|17-0.13.0,"[17-0.13.0,17-0.14.0]",4,success,,,
us.ihmc|scs2-bullet-simulation-debug|17-0.9.5,us.ihmc|scs2-bullet-simulation|17-0.9.5,"[17-0.9.5,17-0.11.1]",4,success,,,
us.ihmc|scs2-simulation-construction-set|0.8.3-bullet-alpha-5,us.ihmc|scs2-simulation|0.8.3-bullet-alpha-5,"[0.8.3-bullet-alpha-5,17-0.11.1]",4,success,,,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.password.policy.server.feature|1.5.59,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.password.policy|1.5.59,"[1.5.59,1.5.84]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.2.56,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.59,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
it.unibo.alchemist|alchemist-swingui|12.2.1,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
us.ihmc|ihmc-javafx-toolkit-visualizers|0.21.1,us.ihmc|ihmc-javafx-toolkit|0.21.1,"[0.21.1,17-0.22.0]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.2.18,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
us.ihmc|scs2-session-logger|0.8.3,us.ihmc|scs2-simulation|0.8.3,"[0.8.3,17-0.11.1]",4,success,,,
org.wso2.samples.is|sample-template|4.3.8,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.18.0,"[5.18.0,5.18.11]",4,success,,,
org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.identity.sts.passive|5.7.5,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.66,"[5.20.66,5.20.72]",4,success,,,
ch.epfl.scala|bloop-shared_2.12|1.4.12-8-50cc7dc0,ch.epfl.scala|zinc_2.12|1.3.0-M4+47-d881fa2f,No suitable version,4,failed,,Y,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.43,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
